Variant ID,Variant,Pack,Bottle Volume,Category ID,Category Name,Manufacturer ID,Manufacturer Name
27757,Few Spirits Bourbon Whiskey,6,750,5,Other,368,Park Street Imports
22157,Wild Turkey 101,12,1000,1,Whiskey,619,Campari America
64868,Fireball Cinnamon Whiskey,6,1750,1,Whiskey,421,Sazerac Company  Inc
76023,Midnight Moon Peach Mini,4,50,10,Spirits,384,Piedmont Distillers Inc
11776,Black Velvet,12,750,1,Whiskey,259,Heaven Hill Brands
26096,Cedar Ridge Double Barrel Bourbon Whiskey,6,750,5,Other,125,Cedar Ridge Vineyards Ll
77688,Smirnoff Lime,12,750,4,Vodka,260,Diageo Americas
26233,Cm Nassif Family Reserve,6,750,1,Whiskey,525,Cats Eye Distillery
89016,Casa Noble Anejo,6,750,3,Tequila & Mezcal,115,Constellation Brands Inc
43244,Captain Morgan 100Prf Spiced Rum,12,750,2,Rum,260,Diageo Americas
19471,Makers Mark Mini,10,50,1,Whiskey,65,Jim Beam Brands
36903,Mccormick 80Prf Vodka,48,200,4,Vodka,300,Mccormick Distilling Co.
34821,Svedka 80Prf,6,1750,4,Vodka,115,Constellation Brands Inc
89824,Sombra Mezcal,6,750,3,Tequila & Mezcal,260,Diageo Americas
87485,Don Julio Blanco,6,750,3,Tequila & Mezcal,260,Diageo Americas
25604,Seagrams 7 Crown,12,375,1,Whiskey,260,Diageo Americas
26827,Jack Daniels Old #7 Black Label,12,1000,1,Whiskey,85,Brown Forman Corp.
43336,Captain Morgan Original Spiced,12,750,2,Rum,260,Diageo Americas
26826,Jack Daniels Old #7 Black Label,12,750,1,Whiskey,85,Brown Forman Corp.
43337,Captain Morgan Original Spiced,12,1000,2,Rum,260,Diageo Americas
40594,New Amsterdam Peach,12,750,4,Vodka,205,E & J Gallo Winery
5329,Johnnie Walker Blue,6,750,1,Whiskey,260,Diageo Americas
15830,Proper No. Twelve,12,750,1,Whiskey,395,Proximo
88296,Patron Silver,12,750,3,Tequila & Mezcal,35,Bacardi Usa Inc
86884,Southern Comfort,24,375,1,Whiskey,421,Sazerac Company  Inc
59037,Desert Island Long Island Iced Tea Cocktail,12,1000,9,Ready-to-Drink/Cocktails,421,Sazerac Company  Inc
89194,Jose Cuervo Especial Reposado Flask,24,375,3,Tequila & Mezcal,395,Proximo
43507,Havana Club Anejo Blanco,12,750,2,Rum,35,Bacardi Usa Inc
36304,Hawkeye Vodka,24,375,4,Vodka,434,Luxco Inc
53216,Paul Masson Grande Amber Brandy Vs,12,750,11,Brandy,421,Sazerac Company  Inc
37347,Phillips Vodka,12,1000,4,Vodka,380,Phillips Beverage
87150,Avion Silver,6,750,3,Tequila & Mezcal,370,Pernod Ricard Usa
88371,Teremana Blanco Tequila,6,750,3,Tequila & Mezcal,192,"Mast-Jagermeister Us, Inc"
53214,Paul Masson Grande Amber Brandy Vs,24,375,11,Brandy,421,Sazerac Company  Inc
43138,Bacardi Limon,6,1750,2,Rum,35,Bacardi Usa Inc
10805,Crown Royal Regal Apple,24,375,1,Whiskey,260,Diageo Americas
101661,Midnight Moon Picnic Pack Minis,12,200,5,Other,384,Piedmont Distillers Inc
52591,E & J Vs Mini,10,50,11,Brandy,205,E & J Gallo Winery
43334,Captain Morgan Original Spiced,24,375,2,Rum,260,Diageo Americas
69638,Dr Mcgillicuddys Cherry,6,1750,8,Schnapps,421,Sazerac Company  Inc
73053,Rumchata,6,1000,6,Liqueur,205,E & J Gallo Winery
34995,Three Olives Grape,12,750,4,Vodka,395,Proximo
51109,Ciroc Vs,12,1000,11,Brandy,260,Diageo Americas
34003,Absolut Swedish Vodka 80Prf,24,200,4,Vodka,370,Pernod Ricard Usa
15626,Jameson,12,750,1,Whiskey,370,Pernod Ricard Usa
101763,Cazadores Reposado With Jarritos Pack,6,750,5,Other,35,Bacardi Usa Inc
84219,99 Peppermint,48,100,8,Schnapps,421,Sazerac Company  Inc
64864,Fireball Cinnamon Whiskey,24,375,1,Whiskey,421,Sazerac Company  Inc
4716,Chivas Regal 12Yr,12,750,1,Whiskey,370,Pernod Ricard Usa
101346,Grey Goose Glass Pack,3,1750,5,Other,35,Bacardi Usa Inc
88372,Teremana Reposado Tequila,6,750,3,Tequila & Mezcal,192,"Mast-Jagermeister Us, Inc"
38174,Titos Handmade Vodka,12,375,4,Vodka,301,Fifth Generation Inc
17958,Evan Williams Black,6,1750,1,Whiskey,259,Heaven Hill Brands
43338,Captain Morgan Original Spiced,6,1750,2,Rum,260,Diageo Americas
37663,Row Vodka,12,750,4,Vodka,380,Phillips Beverage
3836,Twisted Shotz Sexy Party Pack 2.0,1,2250,9,Ready-to-Drink/Cocktails,305,Mhw Ltd
52314,Christian Bros Brandy,24,375,11,Brandy,259,Heaven Hill Brands
984191,Sooh 99 Butterscotch Mini,10,50,8,Schnapps,421,Sazerac Company  Inc
10807,Crown Royal Regal Apple,12,750,1,Whiskey,260,Diageo Americas
36886,Mccormick 80Prf Vodka,12,750,4,Vodka,300,Mccormick Distilling Co.
76072,Midnight Moon Watermelon,6,750,10,Spirits,384,Piedmont Distillers Inc
36901,Mccormick 80Prf Vodka Mini,6,50,4,Vodka,300,Mccormick Distilling Co.
52319,Christian Bros Brandy Round,12,1000,11,Brandy,259,Heaven Hill Brands
22228,Woodford Reserve Double Oaked,6,750,1,Whiskey,85,Brown Forman Corp.
11774,Black Velvet,24,375,1,Whiskey,259,Heaven Hill Brands
76036,Midnight Moon Apple Pie,6,750,10,Spirits,384,Piedmont Distillers Inc
36754,Koskenkorva Vodka,6,750,4,Vodka,338,"Marussia Beverages Usa, Inc / Niche Import"
48107,Hennessy Vs,12,1000,11,Brandy,420,Moet Hennessy Usa
36969,New Amsterdam 80Prf,12,750,4,Vodka,205,E & J Gallo Winery
38177,Titos Handmade Vodka,12,1000,4,Vodka,301,Fifth Generation Inc
88548,Hornitos Plata,12,750,3,Tequila & Mezcal,65,Jim Beam Brands
87280,Casamigos Blanco,6,750,3,Tequila & Mezcal,260,Diageo Americas
73063,Rumchata Limon,12,750,6,Liqueur,205,E & J Gallo Winery
19061,Jim Beam Mini,12,50,1,Whiskey,65,Jim Beam Brands
84142,99 Peaches Pet Mini,1,50,6,Liqueur,421,Sazerac Company  Inc
87306,Cazadores Blanco,12,750,3,Tequila & Mezcal,35,Bacardi Usa Inc
18376,Four Roses Small Batch Select,6,750,1,Whiskey,830,Kirin Beer & Spirits Of America Inc / Four Roses Distillery
18348,Four Roses Small Batch,6,750,1,Whiskey,830,Kirin Beer & Spirits Of America Inc / Four Roses Distillery
951036,Sooh Asbach Uralt Brandy 3Yr,6,750,11,Brandy,962,Duggans Distillers
36308,Hawkeye Vodka,6,1750,4,Vodka,434,Luxco Inc
43285,Captain Morgan Original Spiced Pet,12,750,2,Rum,260,Diageo Americas
36306,Hawkeye Vodka,12,750,4,Vodka,434,Luxco Inc
88294,Patron Silver,12,375,3,Tequila & Mezcal,35,Bacardi Usa Inc
45277,Paramount White Rum,12,1000,2,Rum,434,Luxco Inc
18350,Four Roses Single Barrel,6,750,1,Whiskey,830,Kirin Beer & Spirits Of America Inc / Four Roses Distillery
11771,Black Velvet Mini,8,50,1,Whiskey,259,Heaven Hill Brands
82187,Arrow Spearmint Schnapps,12,1000,8,Schnapps,434,Luxco Inc
64865,Fireball Cinnamon Whiskey Pet,12,750,1,Whiskey,421,Sazerac Company  Inc
36875,Blue Ox Vodka,6,1750,4,Vodka,777,"Blue Ox Spirits, Inc."
87987,Xicala Joven Mezcal,6,750,3,Tequila & Mezcal,611,"Global Beverage Team, Llc"
84226,99 Strawberries Mini,10,50,8,Schnapps,421,Sazerac Company  Inc
25608,Seagrams 7 Crown,6,1750,1,Whiskey,260,Diageo Americas
77858,Smirnoff Whipped Cream,12,750,4,Vodka,260,Diageo Americas
66936,Grangala Triple Orange Liqueur,12,750,6,Liqueur,421,Sazerac Company  Inc
46350,Hawkeye Light Rum,6,1750,2,Rum,434,Luxco Inc
64389,Ciroc Summer Citrus,12,750,4,Vodka,260,Diageo Americas
64863,Fireball Cinnamon Whiskey,48,200,1,Whiskey,421,Sazerac Company  Inc
904564,Sooh Pernod Anise Liqueur,12,750,6,Liqueur,370,Pernod Ricard Usa
27025,Bulleit 95 Rye,12,750,1,Whiskey,260,Diageo Americas
26823,Jack Daniels Old #7 Black Label,48,200,1,Whiskey,85,Brown Forman Corp.
49086,Remy Martin 1738 Accord Royal,6,750,11,Brandy,389,Remy Cointreau Usa Inc
11786,Black Velvet Pet,12,750,1,Whiskey,259,Heaven Hill Brands
80458,Ryans Cream Liqueur,6,1750,6,Liqueur,421,Sazerac Company  Inc
64776,Cointreau Liqueur,12,750,6,Liqueur,389,Remy Cointreau Usa Inc
11296,Crown Royal,12,750,1,Whiskey,260,Diageo Americas
84171,99 Bananas,48,100,8,Schnapps,421,Sazerac Company  Inc
904800,Sooh Pyrat Xo Reserve,6,750,2,Rum,35,Bacardi Usa Inc
36965,New Amsterdam 80Prf Mini,10,50,4,Vodka,205,E & J Gallo Winery
11788,Black Velvet,6,1750,1,Whiskey,259,Heaven Hill Brands
26765,Bird Dog Black Cherry,6,750,1,Whiskey,492,Western Spirits Beverage
43024,Admiral Nelson Spiced,24,375,2,Rum,259,Heaven Hill Brands
65013,Fireball Cinnamon Whiskey Mini Sleeve,12,50,1,Whiskey,421,Sazerac Company  Inc
73200,Captain Morgan Cherry Vanilla,12,750,2,Rum,260,Diageo Americas
34433,Grey Goose,12,750,4,Vodka,35,Bacardi Usa Inc
81208,Paramount Peppermint Schnapps,6,1750,8,Schnapps,434,Luxco Inc
37994,Smirnoff 80Prf,24,375,4,Vodka,260,Diageo Americas
39492,New Amsterdam Pink Whitney,12,750,4,Vodka,205,E & J Gallo Winery
49185,Remy Martin Vsop Flask,12,375,11,Brandy,389,Remy Cointreau Usa Inc
89154,Don Julio Reposado,6,750,3,Tequila & Mezcal,260,Diageo Americas
84404,99 Mangoes,48,100,6,Liqueur,421,Sazerac Company  Inc
88361,Cincoro Anejo Tequila,6,750,3,Tequila & Mezcal,368,Park Street Imports
27408,Jim Beam Honey Mini,12,50,1,Whiskey,65,Jim Beam Brands
34122,Crystal Head Vodka,6,750,4,Vodka,255,Infinium Spirits
68036,Baileys Original Irish Cream,12,750,6,Liqueur,260,Diageo Americas
34746,Stolichnaya 80Prf,12,750,4,Vodka,277,Stoli Group
26586,Gentleman Jack,12,750,1,Whiskey,85,Brown Forman Corp.
10788,Crown Royal Vanilla Mini,10,50,1,Whiskey,260,Diageo Americas
36904,Mccormick 80Prf Vodka Pet,24,375,4,Vodka,300,Mccormick Distilling Co.
38179,Titos Handmade Vodka,24,200,4,Vodka,301,Fifth Generation Inc
21806,Very Old Barton 6Yr 100Prf,12,750,5,Other,421,Sazerac Company  Inc
77847,Smirnoff Vanilla,12,750,4,Vodka,260,Diageo Americas
29119,Aviation American Gin,6,750,7,Gin,260,Diageo Americas
15628,Jameson,6,1750,1,Whiskey,370,Pernod Ricard Usa
48099,Hennessy Vs,24,200,11,Brandy,420,Moet Hennessy Usa
65254,Jagermeister Liqueur,24,375,6,Liqueur,192,"Mast-Jagermeister Us, Inc"
100938,Fireball Valentine Pack,1,50,5,Other,421,Sazerac Company  Inc
64870,Fireball Cinnamon Whiskey,48,100,1,Whiskey,421,Sazerac Company  Inc
19476,Makers Mark,12,750,1,Whiskey,65,Jim Beam Brands
87408,Jose Cuervo Especial Silver,12,750,3,Tequila & Mezcal,395,Proximo
10802,Crown Royal Peach,12,750,1,Whiskey,260,Diageo Americas
937266,Sooh Jethros Vodka,12,750,4,Vodka,566,"Foundry Distilling Company, Llc"
11294,Crown Royal,24,375,1,Whiskey,260,Diageo Americas
88767,Tortilla White,12,1000,3,Tequila & Mezcal,421,Sazerac Company  Inc
47861,D'Usse Vsop,24,200,6,Liqueur,35,Bacardi Usa Inc
46506,Kraken Black Spiced Rum,6,1750,2,Rum,395,Proximo
36301,Hawkeye Vodka Mini,12,50,4,Vodka,434,Luxco Inc
76067,Midnight Moon Watermelon Mini,4,50,10,Spirits,384,Piedmont Distillers Inc
87403,Jose Cuervo Especial Silver,24,375,3,Tequila & Mezcal,395,Proximo
39624,Wild Roots Pear Vodka,6,750,4,Vodka,666,"Northwest Natural Spirits, Llc / Cascade Spirits"
31470,New Amsterdam Gin,12,1000,7,Gin,205,E & J Gallo Winery
10804,Crown Royal Regal Apple,44,200,1,Whiskey,260,Diageo Americas
5327,Johnnie Walker Black,12,1000,1,Whiskey,260,Diageo Americas
39555,Deep Eddy Lemon Mini,12,50,4,Vodka,259,Heaven Hill Brands
28279,Jim Beam Peach,12,750,1,Whiskey,65,Jim Beam Brands
101491,Midnight Moon Party Pack Minis,12,200,5,Other,384,Piedmont Distillers Inc
19477,Makers Mark,12,1000,1,Whiskey,65,Jim Beam Brands
37991,Smirnoff 80Prf Mini,12,50,4,Vodka,260,Diageo Americas
80398,Ole Smoky White Chocolate Strawberry Moonshine Mini,8,50,10,Spirits,346,Ole Smoky Distillery Llc
82846,Dekuyper Luscious Peachtree,12,750,8,Schnapps,65,Jim Beam Brands
42716,Malibu Coconut,12,750,2,Rum,370,Pernod Ricard Usa
47865,D'Usse Vsop,6,750,6,Liqueur,35,Bacardi Usa Inc
64867,Fireball Cinnamon Whiskey,12,1000,1,Whiskey,421,Sazerac Company  Inc
25616,Seagrams 7 Crown Pet Flask,12,750,1,Whiskey,260,Diageo Americas
26820,Jack Daniels Old #7 Black Label Flat,24,375,1,Whiskey,85,Brown Forman Corp.
101180,99 Fruits Mini,12,50,8,Schnapps,421,Sazerac Company  Inc
49084,Remy Martin 1738 Accord Royal,12,375,11,Brandy,389,Remy Cointreau Usa Inc
36874,Blue Ox Vodka,12,1000,4,Vodka,777,"Blue Ox Spirits, Inc."
43136,Bacardi Limon,12,750,2,Rum,35,Bacardi Usa Inc
82787,Dekuyper Buttershots,12,1000,8,Schnapps,65,Jim Beam Brands
36307,Hawkeye Vodka,12,1000,4,Vodka,434,Luxco Inc
26160,Bird Dog Apple Mini,6,50,1,Whiskey,492,Western Spirits Beverage
89836,Hornitos Reposado,12,750,3,Tequila & Mezcal,65,Jim Beam Brands
89206,1800 Reposado,12,750,3,Tequila & Mezcal,395,Proximo
36964,Grey Goose Mini,8,50,4,Vodka,35,Bacardi Usa Inc
16846,Bird Dog 7Yr,6,750,1,Whiskey,492,Western Spirits Beverage
84222,99 Blue Raspberries Mini,10,50,8,Schnapps,421,Sazerac Company  Inc
68340,Five Farms Irish Cream Liqueur,9,750,6,Liqueur,300,Mccormick Distilling Co.
43109,Bacardi Black,12,750,2,Rum,35,Bacardi Usa Inc
38008,Smirnoff 80Prf Pet,6,1750,4,Vodka,260,Diageo Americas
17672,Duke Kentucky Straight Bourbon Whiskey,6,750,1,Whiskey,368,Park Street Imports
37996,Smirnoff 80Prf,12,750,4,Vodka,260,Diageo Americas
47863,D'Usse Vsop,12,375,6,Liqueur,35,Bacardi Usa Inc
11298,Crown Royal,6,1750,1,Whiskey,260,Diageo Americas
22154,Wild Turkey 101,12,375,1,Whiskey,619,Campari America
903089,Sooh Gran Centenario Anejo,6,750,3,Tequila & Mezcal,395,Proximo
31475,New Amsterdam Gin,12,750,7,Gin,205,E & J Gallo Winery
27037,George Dickel Rye,12,750,1,Whiskey,260,Diageo Americas
16832,Blade & Bow,6,750,1,Whiskey,260,Diageo Americas
26821,Jack Daniels Old #7 Black Label Mini,12,50,1,Whiskey,85,Brown Forman Corp.
89644,Patron Anejo,12,375,3,Tequila & Mezcal,35,Bacardi Usa Inc
89623,Patron Reposado Mini,10,50,3,Tequila & Mezcal,35,Bacardi Usa Inc
64716,Ciroc Peach,12,750,4,Vodka,260,Diageo Americas
42777,Ron Zacapa 23Yr,6,750,2,Rum,260,Diageo Americas
19486,Makers 46,6,750,1,Whiskey,65,Jim Beam Brands
52581,E & J Vsop,24,375,11,Brandy,205,E & J Gallo Winery
28867,Tanqueray Gin,12,1000,7,Gin,260,Diageo Americas
43735,Bumbu Xo,6,750,2,Rum,482,"Sovereign Brands, Llc"
35916,Five O'Clock Vodka,12,750,4,Vodka,297,Laird & Company
88186,Olmeca Altos Plata,6,750,3,Tequila & Mezcal,370,Pernod Ricard Usa
31658,Paramount Gin,6,1750,7,Gin,434,Luxco Inc
37348,Phillips Vodka,6,1750,4,Vodka,380,Phillips Beverage
14192,Pendleton Canadian Whiskey,12,750,1,Whiskey,395,Proximo
11299,Crown Royal,44,200,1,Whiskey,260,Diageo Americas
34014,Absolut Apeach,12,750,4,Vodka,370,Pernod Ricard Usa
34454,Ketel One,12,375,4,Vodka,260,Diageo Americas
45278,Paramount White Rum,6,1750,2,Rum,434,Luxco Inc
44658,Lady Bligh Spiced Rum,6,1750,2,Rum,434,Luxco Inc
89577,Montezuma Gold,12,1000,3,Tequila & Mezcal,421,Sazerac Company  Inc
43025,Admiral Nelson Spiced Pet,12,750,2,Rum,259,Heaven Hill Brands
34456,Ketel One,12,750,4,Vodka,260,Diageo Americas
35918,Five O'Clock Vodka,6,1750,4,Vodka,297,Laird & Company
87511,1800 Silver,6,1000,3,Tequila & Mezcal,395,Proximo
43022,Admiral Nelson Spiced Mini,8,50,2,Rum,259,Heaven Hill Brands
12408,Canadian Ltd Whisky,6,1750,1,Whiskey,421,Sazerac Company  Inc
43128,Bacardi Superior,6,1750,2,Rum,35,Bacardi Usa Inc
19067,Jim Beam,12,1000,1,Whiskey,65,Jim Beam Brands
59201,1800 Ultimate Strawberry Margarita Pet,6,1750,9,Ready-to-Drink/Cocktails,395,Proximo
27410,Jim Beam Honey,12,750,1,Whiskey,65,Jim Beam Brands
64904,Fireball Cinnamon Whiskey Pet,6,1750,1,Whiskey,421,Sazerac Company  Inc
89196,Jose Cuervo Especial Reposado,12,750,3,Tequila & Mezcal,395,Proximo
24458,Kessler Blend Whiskey,6,1750,1,Whiskey,65,Jim Beam Brands
927650,Sooh Wyoming Whiskey Small Batch Bourbon,6,750,1,Whiskey,266,Edrington Group Usa Llc
88984,Tequila Padre Azul Reposado,6,750,3,Tequila & Mezcal,727,Benchmark Beverage Company Llc
15627,Jameson,12,1000,1,Whiskey,370,Pernod Ricard Usa
35213,Sobieski,6,1750,4,Vodka,421,Sazerac Company  Inc
87872,Jaja Blanco,6,750,3,Tequila & Mezcal,395,Proximo
80487,Tippy Cow Vanilla Soft Serve,6,750,6,Liqueur,205,E & J Gallo Winery
38494,Waving Plains Vodka,12,750,4,Vodka,380,Phillips Beverage
69634,Dr Mcgillicuddys Cherry,24,375,8,Schnapps,421,Sazerac Company  Inc
10808,Crown Royal Regal Apple,12,1000,1,Whiskey,260,Diageo Americas
19096,Jim Beam Pet,12,750,1,Whiskey,65,Jim Beam Brands
67528,Kahlua Coffee,6,1750,6,Liqueur,370,Pernod Ricard Usa
75197,Kinky Aloha,6,750,4,Vodka,772,Intercontinental Packaging Company/Prestige Beverage Group
35964,Three Olives Loopy,12,750,4,Vodka,395,Proximo
5105,Glenmorangie Quinta Ruban,6,750,10,Spirits,420,Moet Hennessy Usa
27474,Bird Dog Blackberry,6,750,1,Whiskey,492,Western Spirits Beverage
36971,New Amsterdam 80Prf,6,1750,4,Vodka,205,E & J Gallo Winery
87250,Cabo Wabo Blanco,6,750,3,Tequila & Mezcal,619,Campari America
17929,Bp Elijah Craig Private Barrel - Barrel Proof,12,750,5,Other,259,Heaven Hill Brands
5346,Johnnie Walker Red,12,750,1,Whiskey,260,Diageo Americas
19068,Jim Beam,6,1750,1,Whiskey,65,Jim Beam Brands
39374,Blue Ice American Huckleberry Vodka,12,750,4,Vodka,568,21St Century Spirits Llc
84197,99 Pineapple Mini,10,50,6,Liqueur,421,Sazerac Company  Inc
78456,Paramount Creme De Cacao Dark,12,750,6,Liqueur,434,Luxco Inc
4096,Ardbeg 10Yr Islay,6,750,10,Spirits,420,Moet Hennessy Usa
64866,Fireball Cinnamon Whiskey,12,750,1,Whiskey,421,Sazerac Company  Inc
49186,Remy Martin Vsop,12,750,11,Brandy,389,Remy Cointreau Usa Inc
27102,Templeton Rye 4Yr,6,750,1,Whiskey,255,Infinium Spirits
75230,Kinky Red,6,750,4,Vodka,772,Intercontinental Packaging Company/Prestige Beverage Group
27175,Templeton Rye 4Yr,6,1000,1,Whiskey,255,Infinium Spirits
29288,Barton Gin,6,1750,7,Gin,421,Sazerac Company  Inc
65426,Licor 43,12,750,6,Liqueur,368,Park Street Imports
73517,Dekuyper Cactus Juice,12,1000,8,Schnapps,65,Jim Beam Brands
87035,Skrewball Peanut Butter Whiskey Mini,12,50,1,Whiskey,255,Infinium Spirits
34006,Absolut Swedish Vodka 80Prf,12,750,4,Vodka,370,Pernod Ricard Usa
17206,Cedar Ridge Bourbon,6,750,1,Whiskey,125,Cedar Ridge Vineyards Ll
54646,Arrow Blackberry Brandy,12,750,11,Brandy,434,Luxco Inc
73051,Rumchata Mini,12,50,6,Liqueur,205,E & J Gallo Winery
46351,Hawkeye Light Rum,12,1000,2,Rum,434,Luxco Inc
5006,Glenfiddich 12Yr Special Reserve,12,750,10,Spirits,240,William Grant & Sons Inc
56206,Paramount Peach Brandy,12,750,11,Brandy,434,Luxco Inc
34001,Absolut Swedish Vodka 80Prf Mini,10,50,4,Vodka,370,Pernod Ricard Usa
27680,Jim Beam Kentucky Fire Mini,12,50,1,Whiskey,65,Jim Beam Brands
40289,New Amsterdam Coconut,12,750,4,Vodka,205,E & J Gallo Winery
21596,Ten High,12,750,1,Whiskey,421,Sazerac Company  Inc
86987,Ole Smoky Salty Watermelon Whiskey,6,750,1,Whiskey,346,Ole Smoky Distillery Llc
65144,Il Tramonto Limoncello,6,750,6,Liqueur,772,Intercontinental Packaging Company/Prestige Beverage Group
44660,Lady Bligh Spiced Rum,12,750,2,Rum,434,Luxco Inc
74801,Jack Daniels Tennessee Apple,12,750,1,Whiskey,85,Brown Forman Corp.
52598,E & J Vs,6,1750,11,Brandy,205,E & J Gallo Winery
69667,Dr Mcgillicuddys Vanilla,12,1000,8,Schnapps,421,Sazerac Company  Inc
964123,Sooh Ancho Reyes Verde,6,750,6,Liqueur,619,Campari America
37217,Paramount Vodka,12,1000,4,Vodka,434,Luxco Inc
86669,Jack Daniels Tennessee Honey,24,375,1,Whiskey,85,Brown Forman Corp.
43120,Bacardi Superior Pet,6,1750,2,Rum,35,Bacardi Usa Inc
63345,On The Rocks Cocktails Tres Gen Jalapeno Pineapple Margarita,12,375,9,Ready-to-Drink/Cocktails,65,Jim Beam Brands
65251,Jagermeister Liqueur Mini,5,50,6,Liqueur,192,"Mast-Jagermeister Us, Inc"
37998,Smirnoff 80Prf,6,1750,4,Vodka,260,Diageo Americas
31656,Paramount Gin,12,750,7,Gin,434,Luxco Inc
922046,Ha Weller Single Barrel Bourbon,6,750,1,Whiskey,421,Sazerac Company  Inc
89329,Herradura Anjeo,6,750,3,Tequila & Mezcal,85,Brown Forman Corp.
80418,Rumcoqui Pistachio Rum Cream,6,750,5,Other,216,Rumcoqui And Co
35356,Blue Ice American Potato Vodka,12,750,4,Vodka,568,21St Century Spirits Llc
15776,Bushmills Irish Whiskey,12,750,1,Whiskey,395,Proximo
89533,Familia Camarena Reposado,12,750,3,Tequila & Mezcal,205,E & J Gallo Winery
43869,Kasama Small Batch Rum 7Yr,6,750,2,Rum,305,Mhw Ltd
5061,Glenlivet 15Yr French Oak,6,750,10,Spirits,370,Pernod Ricard Usa
52594,E & J Vs,24,375,11,Brandy,205,E & J Gallo Winery
46497,Kraken Black Spiced 70Prf,12,750,2,Rum,395,Proximo
63347,On The Rocks Cocktails Knob Creek Bourbon Old Fashioned,12,375,9,Ready-to-Drink/Cocktails,65,Jim Beam Brands
77889,Smirnoff Ruby Red Grapefruit,12,750,4,Vodka,260,Diageo Americas
11777,Black Velvet,12,1000,1,Whiskey,259,Heaven Hill Brands
10791,Crown Royal Vanilla,12,750,1,Whiskey,260,Diageo Americas
89191,Jose Cuervo Especial Reposado Mini,12,50,3,Tequila & Mezcal,395,Proximo
43316,Captain Morgan Private Stock,12,750,2,Rum,260,Diageo Americas
45246,Paramount Gold Rum,12,750,2,Rum,434,Luxco Inc
11287,Crown Royal 18Yr Extra Rare,6,750,1,Whiskey,260,Diageo Americas
43125,Bacardi Superior Pet,12,750,2,Rum,35,Bacardi Usa Inc
38841,Truly Wild Berry,12,750,4,Vodka,65,Jim Beam Brands
994697,Sooh Bruichladdich Pc 10Yr,6,750,10,Spirits,389,Remy Cointreau Usa Inc
81124,99 Peppermint Mini,10,50,8,Schnapps,421,Sazerac Company  Inc
25603,Seagrams 7 Crown,24,200,1,Whiskey,260,Diageo Americas
86843,Ole Smoky Salty Caramel Whiskey,6,750,10,Spirits,346,Ole Smoky Distillery Llc
52199,Paul Masson Grande Amber Brandy Vs,48,100,11,Brandy,421,Sazerac Company  Inc
25016,Ole Smoky Blended Whiskey,6,750,1,Whiskey,346,Ole Smoky Distillery Llc
26360,Bird Dog Salted Caramel Flavored Whiskey Mini,6,50,1,Whiskey,492,Western Spirits Beverage
28043,Jim Beam Vanilla,12,750,1,Whiskey,65,Jim Beam Brands
67527,Kahlua Coffee,12,1000,6,Liqueur,370,Pernod Ricard Usa
40593,New Amsterdam Peach,24,375,4,Vodka,205,E & J Gallo Winery
58873,Jose Cuervo Authentic Watermelon Margarita,6,1750,9,Ready-to-Drink/Cocktails,395,Proximo
45886,Sailor Jerry Spiced Navy Rum,12,750,2,Rum,240,William Grant & Sons Inc
43137,Bacardi Limon,12,1000,2,Rum,35,Bacardi Usa Inc
23827,Five Star,12,1000,1,Whiskey,297,Laird & Company
82847,Dekuyper Luscious Peachtree,12,1000,8,Schnapps,65,Jim Beam Brands
87152,Avion Silver,12,375,3,Tequila & Mezcal,370,Pernod Ricard Usa
